"Family","Father","Mother","Gender","Height","Kids"
"1","78.5","67.0","M","73.2","4"
"1","78.5","67.0","F","69.2","4"
"1","78.5","67.0","F","69.0","4"
"1","78.5","67.0","F","69.0","4"
"2","75.5","66.5","M","73.5","4"
"2","75.5","66.5","M","72.5","4"
"2","75.5","66.5","F","65.5","4"
"2","75.5","66.5","F","65.5","4"
"5","75.0","58.5","M","72.0","6"
"3","75.0","64.0","M","71.0","2"
"4","75.0","64.0","M","70.5","5"
"5","75.0","58.5","M","69.0","6"
"4","75.0","64.0","M","68.5","5"
"3","75.0","64.0","F","68.0","2"
"5","75.0","58.5","M","68.0","6"
"4","75.0","64.0","F","67.0","5"
"5","75.0","58.5","F","66.5","6"
"4","75.0","64.0","F","64.5","5"
"4","75.0","64.0","F","63.0","5"
"5","75.0","58.5","F","62.5","6"
"5","75.0","58.5","F","62.5","6"
"9","74.5","66.0","F","66.0","1"
"7","74.0","68.0","M","76.5","6"
"7","74.0","68.0","M","74.0","6"
"11","74.0","62.0","M","74.0","8"
"7","74.0","68.0","M","73.0","6"
"7","74.0","68.0","M","73.0","6"
"7","74.0","68.0","F","70.5","6"
"8","74.0","66.5","F","70.5","3"
"11","74.0","62.0","M","70.0","8"
"6","74.0","68.0","F","69.5","1"
"8","74.0","66.5","F","68.0","3"
"11","74.0","62.0","F","68.0","8"
"11","74.0","62.0","F","67.0","8"
"11","74.0","62.0","F","67.0","8"
"8","74.0","66.5","F","66.0","3"
"11","74.0","62.0","F","66.0","8"
"10","74.0","65.5","F","65.5","1"
"12","74.0","61.0","F","65.0","1"
"7","74.0","68.0","F","64.0","6"
"11","74.0","62.0","F","63.5","8"
"11","74.0","62.0","F","63.0","8"
"19","73.2","63.0","F","62.7","1"
"17","73.0","64.5","M","74.0","6"
"17","73.0","64.5","M","73.0","6"
"16","73.0","65.0","M","72.0","9"
"17","73.0","64.5","M","71.5","6"
"15","73.0","66.5","M","71.0","3"
"15","73.0","66.5","M","70.5","3"
"16","73.0","65.0","M","70.5","9"
"16","73.0","65.0","M","70.2","9"
"16","73.0","65.0","M","70.2","9"
"16","73.0","65.0","M","69.2","9"
"16","73.0","65.0","F","68.7","9"
"14","73.0","67.0","M","68.0","2"
"14","73.0","67.0","M","67.0","2"
"15","73.0","66.5","F","66.7","3"
"16","73.0","65.0","F","66.5","9"
"17","73.0","64.5","F","66.5","6"
"18","73.0","64.0","F","66.0","3"
"16","73.0","65.0","F","64.5","9"
"18","73.0","64.0","F","64.5","3"
"18","73.0","64.0","F","64.0","3"
"16","73.0","65.0","F","63.5","9"
"17","73.0","64.5","M","62.5","6"
"17","73.0","64.5","F","62.3","6"
"20","72.7","69.0","M","73.2","8"
"20","72.7","69.0","M","73.0","8"
"20","72.7","69.0","M","72.7","8"
"20","72.7","69.0","F","70.0","8"
"20","72.7","69.0","F","69.0","8"
"20","72.7","69.0","F","68.5","8"
"20","72.7","69.0","F","68.0","8"
"20","72.7","69.0","F","66.0","8"
"31","72.5","62.0","M","71.0","6"
"31","72.5","62.0","M","70.0","6"
"31","72.5","62.0","M","70.0","6"
"29","72.5","63.5","F","67.5","3"
"29","72.5","63.5","F","67.2","3"
"29","72.5","63.5","F","66.7","3"
"31","72.5","62.0","F","66.0","6"
"31","72.5","62.0","F","65.0","6"
"31","72.5","62.0","F","65.0","6"
"23","72.0","65.0","M","74.2","7"
"32","72.0","62.0","M","74.0","5"
"21","72.0","68.0","M","73.0","3"
"22","72.0","67.0","M","73.0","3"
"28","72.0","63.0","M","73.0","6"
"32","72.0","62.0","M","72.0","5"
"33","72.0","62.0","M","72.0","5"
"33","72.0","62.0","M","71.5","5"
"33","72.0","62.0","M","71.5","5"
"22","72.0","67.0","M","71.0","3"
"23","72.0","65.0","M","70.5","7"
"26","72.0","63.0","M","70.5","5"
"26","72.0","63.0","M","70.5","5"
"28","72.0","63.0","F","70.5","6"
"28","72.0","63.0","F","70.0","6"
"33","72.0","62.0","M","70.0","5"
"23","72.0","65.0","M","69.5","7"
"26","72.0","63.0","M","69.0","5"
"27","72.0","63.0","M","69.0","3"
"32","72.0","62.0","M","69.0","5"
"21","72.0","68.0","F","68.5","3"
"21","72.0","68.0","F","68.0","3"
"33","72.0","62.0","F","68.0","5"
"32","72.0","62.0","F","67.5","5"
"22","72.0","67.0","F","67.0","3"
"27","72.0","63.0","M","67.0","3"
"28","72.0","63.0","M","67.0","6"
"28","72.0","63.0","F","66.5","6"
"23","72.0","65.0","F","66.0","7"
"25","72.0","64.0","F","66.0","2"
"34","72.0","61.0","F","65.7","1"
"23","72.0","65.0","F","65.5","7"
"24","72.0","65.5","F","65.5","1"
"23","72.0","65.0","F","65.0","7"
"23","72.0","65.0","F","65.0","7"
"26","72.0","63.0","F","65.0","5"
"30","72.0","62.0","F","64.0","1"
"32","72.0","62.0","F","63.5","5"
"25","72.0","64.0","F","63.0","2"
"26","72.0","63.0","F","63.0","5"
"27","72.0","63.0","F","63.0","3"
"28","72.0","63.0","F","63.0","6"
"47","71.7","64.5","M","72.0","4"
"47","71.7","64.5","M","71.0","4"
"41","71.7","65.5","M","70.5","1"
"47","71.7","64.5","M","70.5","4"
"47","71.7","64.5","F","67.0","4"
"43","71.5","65.5","M","73.0","2"
"49","71.5","64.5","M","72.0","7"
"49","71.5","64.5","M","71.0","7"
"49","71.5","64.5","M","70.0","7"
"44","71.5","65.0","M","68.5","2"
"44","71.5","65.0","M","67.7","2"
"49","71.5","64.5","F","66.0","7"
"43","71.5","65.5","F","65.2","2"
"49","71.5","64.5","F","64.5","7"
